dni_hashed,legajo_hashed,tipo_arma,marca_arma,nro_arma,estado_arma,observacion_arma,fecha_asignacion_arma,fecha_devolucion_arma,dependencia,region
2a553d95fb373547899b701af1cb01bb02f16f73e0a61f99ee45be3a3b13de47,af76454cd76f1023048606a03e9b12a576d6f059c5600ddaa94efc9762036f38,Escopeta,Bersa,ARM-00001,Operativa,Sin observación,2024-10-02,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
86b8c341fd1a8e9cf6eb0d0ad358ef50192c2e9adea94bd378b1b1d65694380a,b5f1ac10c7c51c5d8e6d18d943bf9ae8bedc0687bfe5d478f9068fda7572002f,Pistola,Remington,ARM-00002,Operativa,Sin observación,2024-11-27,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
a2106b326a83300d6f5705aba9cba241eceb3c76f989d7b0888c6104b90dd11e,e61296c083ccd95e8f79bdd4496eb330ee1629ef9673e1a0870d9ce92f9ffc21,Pistola,Bersa,ARM-00003,Operativa,,2024-06-27,,Departamental Nº 15 Ojo de Agua,Ojo de Agua
f430391abd6feac39b8945edf7eaaec084938dbf6aa2d0e875c93eae2cca832d,eb715055441a1478158944df70adc4a756f0f26f93b6f2c35abe6ed02afef1df,Fusil,Bersa,ARM-00004,Operativa,Sin observación,2024-06-21,,Departamental Nº 12 Quimilí,Quimilí
8bdf66843532b5270c28983061165cf00833df08215336fe7dbc858f27877b34,b3ef50fdd70e361972b44864818cc7acf96cf7002103ef6ae9ed7dcc8f93d21c,Pistola,Bersa,ARM-00005,Operativa,,2025-07-13,,Departamental Nº 16 Los Flores (Capital),Capital
dab054c95b8332772c3b42d3afd8bf9f51f94ddf05c59d7f4da59d54b2fc99a1,1c8b8103c26a8f36daa19131a2d48ea3eb2d02337c1ba67aaf207e54de66b4be,Escopeta,IWI,ARM-00006,Operativa,Sin observación,2024-10-30,,Departamental Nº 13 Añatuya,Añatuya
9db3a165023d3f5cc87762ba49840febe6354da8c9f4067d6c7a47d471afacef,b0e126210ba2862618d4636ad70b25d6280c9b99e72611eb43c9c21e22ab06a8,Pistola,Remington,ARM-00007,Fuera de servicio,Requiere revisión anual,2025-01-23,,Departamental Nº 14 Pinto,Pinto
175d7e8916df45debbf52b546a668a016de8e0aa2aa6e15577c5ba0326bbeffe,91f70762d54c6e619787562199da44f15d4ddeed26b819d6646bf91c4043e980,Pistola,Glock,ARM-00008,Operativa,Sin observación,2025-01-16,,Departamental Nº 2 Zona Centro (Capital),Capital
657bed31f1260e5cf87ac60c3738fef7b5287b30d9861a9bc9993ec615bc3736,4b8ca57533986fee2c9f6c850002b69e24d6078251bae28cef58db7cc623f542,Pistola,IWI,ARM-00009,En mantenimiento,Desgaste en cañón,2024-12-13,,Departamental Nº 16 Los Flores (Capital),Capital
ce3831dffe0ae1074b1d1d4a49c339c2f237ffe3877b9785793f083fb575129a,3da029e5aeb223f552f1134511ac506a841879c023dd35197dc444edb90c4c93,Fusil,Remington,ARM-00010,En mantenimiento,,2024-08-02,,Departamental Nº 4 Zona Oeste (La Banda),La Banda
390480c54d3012222f2e117bf1322edf4660b86d33345b79a53a3d0d95c37b8b,81242df491c048cd626cbf7849a436d2c506a6f6578c3c86953a1f67215e79b6,Pistola,Remington,ARM-00011,Operativa,Sin observación,2024-03-02,,Departamental Nº 16 Los Flores (Capital),Capital
6f02a93c25570b5e7aae8ca30c86d682bc81520660f548dc2be6f788cf6e135d,1d415c33b2a29589ab178f2b87786d2c8ac174ce63b0c7b86420ccdef14bd44b,Escopeta,IWI,ARM-00012,Operativa,Sin observación,2024-11-05,,Departamental Nº 12 Quimilí,Quimilí
db3c12c14f140384e59e0644ab99e0d9542ca6a1c22ea3cc8bf10ffe2576db8e,fa5d076bec2530038c9d4233a60a0f7720bc983d88b43437b1c775b91e9eb6e1,Pistola,Remington,ARM-00013,Operativa,Sin observación,2024-08-20,,Departamental Nº 8 Fernández,Fernández
517e8ae3381f9cc709d3906a16fbf916095616bceed817cbd41760d659bf85b0,2bb378cbf3e70f29059cedc8764d28ed4fbc6252e513ea0294fdb443d3b308d3,Pistola,IWI,ARM-00014,Operativa,Sin observación,2024-09-12,,Departamental Nº 11 Monte Quemado,Monte Quemado
