id_control,fecha_control,dependencia,region,controles_realizados,anomalías_detectadas,personal_asistentes,legajo,dni,apellido,nombre,fecha_nacimiento,edad,jerarquia,fecha_ingreso,antiguedad_anios,estado_funcionario,telefono,observacion_funcionario,tipo_arma,marca_arma,nro_arma,estado_arma,observacion_arma,fecha_asignacion_arma,fecha_devolucion_arma
1,2025-07-14,Departamental Nº 4 Zona Oeste (La Banda),La Banda,5.0,2.0,4.0,LEG0001,41300885,Rodríguez,Ana,1965-06-10,60.0,Sargento Principal,2010-05-11,15.0,Inactivo,,,Escopeta,Bersa,ARM-00001,Operativa,,2024-09-11,
2,2025-08-27,Departamental Nº 15 Ojo de Agua,Ojo de Agua,4.0,0.0,7.0,LEG0002,42276936,Martínez,Ana,2001-12-28,23.0,Oficial Principal,2011-10-09,14.0,Inactivo,,,Pistola,Remington,ARM-00002,Operativa,,2024-11-06,
3,2025-02-03,Departamental Nº 15 Ojo de Agua,Ojo de Agua,4.0,0.0,4.0,LEG0003,39435721,Fernández,Sofía,1976-04-29,49.0,Sargento Primero,2010-06-11,15.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,Bersa,ARM-00003,Operativa,,2024-06-06,
4,2025-02-15,Departamental Nº 12 Quimilí,Quimilí,3.0,3.0,8.0,LEG0004,32719242,López,Juan,2004-06-16,21.0,Sargento Principal,2014-02-04,12.0,Activo,3855-XXXXXX,,Fusil,Bersa,ARM-00004,Operativa,,2024-05-31,
5,2025-09-22,Departamental Nº 16 Los Flores (Capital),Capital,6.0,2.0,3.0,LEG0005,42944510,Martínez,Pedro,2004-10-25,21.0,Sargento Principal,2011-05-18,14.0,Activo,,En licencia médica,Pistola,Bersa,ARM-00005,Operativa,,2025-06-22,
6,2025-03-08,Departamental Nº 13 Añatuya,Añatuya,8.0,1.0,4.0,LEG0006,31822585,Martínez,Pedro,1974-12-11,50.0,Cabo,2014-07-22,11.0,Activo,,En licencia médica,Escopeta,IWI,ARM-00006,Operativa,,2024-10-09,
7,2025-06-10,Departamental Nº 14 Pinto,Pinto,4.0,1.0,9.0,LEG0007,25725570,Pérez,José,1993-01-11,32.0,Cabo,2019-06-20,6.0,Activo,,,Pistola,Remington,ARM-00007,Fuera de servicio,Requiere revisión anual,2025-01-02,
8,2025-06-21,Departamental Nº 2 Zona Centro (Capital),Capital,4.0,1.0,1.0,LEG0008,23080389,García,Juan,1967-02-02,58.0,Agente,2018-01-10,8.0,Activo,,En licencia médica,Pistola,Glock,ARM-00008,Operativa,,2024-12-26,
9,2025-05-30,Departamental Nº 16 Los Flores (Capital),Capital,7.0,1.0,3.0,LEG0009,22204664,Fernández,Juan,1998-02-22,27.0,Agente,2011-09-16,14.0,Activo,,,Pistola,IWI,ARM-00009,En mantenimiento,Desgaste en cañón,2024-11-22,
10,2025-06-16,Departamental Nº 4 Zona Oeste (La Banda),La Banda,4.0,2.0,4.0,LEG0010,31310552,López,Pedro,1970-07-19,55.0,Agente,2017-01-01,9.0,Activo,3854-XXXXXX,,Fusil,Remington,ARM-00010,En mantenimiento,,2024-07-12,
11,2025-01-21,Departamental Nº 16 Los Flores (Capital),Capital,6.0,0.0,6.0,LEG0011,26105525,Sánchez,Ana,1966-11-09,58.0,Cabo,2011-07-17,14.0,Activo,3855-XXXXXX,Próximo a retiro,Pistola,Remington,ARM-00011,Operativa,,2024-02-10,
12,2025-05-06,Departamental Nº 12 Quimilí,Quimilí,9.0,0.0,7.0,LEG0012,43322751,Gómez,Pedro,1972-02-25,53.0,Cabo Primero,2019-04-18,7.0,Activo,3855-XXXXXX,Próximo a retiro,Escopeta,IWI,ARM-00012,Operativa,,2024-10-15,
13,2025-01-25,Departamental Nº 8 Fernández,Fernández,10.0,1.0,3.0,LEG0013,24183839,Martínez,María,1982-06-15,43.0,Cabo,2023-07-01,2.0,Activo,3854-XXXXXX,,Pistola,Remington,ARM-00013,Operativa,,2024-07-30,
14,2025-09-01,Departamental Nº 11 Monte Quemado,Monte Quemado,5.0,0.0,4.0,LEG0014,23379569,Romero,Carlos,1975-09-21,50.0,Oficial Ayudante,2021-12-13,4.0,Activo,3854-XXXXXX,En licencia médica,Pistola,IWI,ARM-00014,Operativa,,2024-08-22,
15,2025-06-18,Departamental Nº 10 Nueva Esperanza,Nueva Esperanza,4.0,2.0,1.0,LEG0015,23699391,Rodríguez,María,1989-04-28,36.0,Suboficial Mayor,2021-02-22,5.0,Activo,3854-XXXXXX,Próximo a retiro,Pistola,Bersa,ARM-00015,Operativa,,2025-02-23,
16,2025-04-04,Departamental Nº 16 Los Flores (Capital),Capital,3.0,1.0,7.0,LEG0016,33233331,Romero,Lucía,1995-03-01,30.0,Oficial Principal,2017-10-20,8.0,Activo,,,Fusil,Glock,ARM-00016,Operativa,,2025-03-02,
17,2025-05-18,Departamental Nº 11 Monte Quemado,Monte Quemado,9.0,0.0,2.0,LEG0017,31098716,Romero,Lucía,1970-04-07,55.0,Agente,2017-12-06,8.0,Activo,,En licencia médica,Pistola,IWI,ARM-00017,En mantenimiento,Desgaste en cañón,2024-10-05,
18,2025-03-22,Departamental Nº 5 Zona Este (La Banda),La Banda,7.0,1.0,7.0,LEG0018,20675510,Martínez,Pedro,1973-10-01,52.0,Agente,2020-07-18,5.0,Activo,,,Pistola,IWI,ARM-00018,Operativa,,2024-11-29,
19,2025-03-06,Departamental Nº 3 Zona Sur (Capital),Capital,6.0,0.0,9.0,LEG0019,20197775,Díaz,Luis,1984-09-12,41.0,Agente,2018-10-28,7.0,Activo,3855-XXXXXX,,Escopeta,IWI,ARM-00019,En mantenimiento,Requiere revisión anual,2024-06-27,2025-03-16
20,2025-08-10,Departamental Nº 9 Loreto,Loreto,3.0,1.0,9.0,LEG0020,33846020,Rodríguez,María,1978-07-07,47.0,Comisario,2013-05-02,12.0,Activo,,,Fusil,Remington,ARM-00020,Operativa,,2025-02-17,
21,2025-01-23,Departamental Nº 13 Añatuya,Añatuya,5.0,1.0,4.0,LEG0021,23319144,Martínez,Juan,1976-12-24,48.0,Sargento Principal,2012-06-13,13.0,Activo,,En licencia médica,Fusil,Remington,ARM-00021,Fuera de servicio,,2023-12-22,2024-07-25
22,2024-12-12,Departamental Nº 15 Ojo de Agua,Ojo de Agua,7.0,,1.0,LEG0022,25118922,Romero,Sofía,2002-06-09,23.0,Cabo Primero,2011-04-16,15.0,Activo,,Próximo a retiro,Pistola,Remington,ARM-00022,Operativa,Desgaste en cañón,2024-07-14,
23,2024-11-02,Departamental Nº 9 Loreto,Loreto,2.0,0.0,5.0,LEG0023,21600396,López,María,1985-03-29,40.0,Oficial Principal,2012-07-13,13.0,Activo,3855-XXXXXX,,Escopeta,Bersa,ARM-00023,Operativa,,2024-09-24,
24,2025-01-09,Departamental Nº 6 Las Termas,Las Termas,9.0,0.0,7.0,LEG0024,39109733,López,José,1999-04-18,26.0,Sargento Primero,2014-07-27,11.0,Activo,3854-XXXXXX,,Pistola,Bersa,ARM-00024,Fuera de servicio,,2024-09-19,2025-03-15
25,2025-02-07,Departamental Nº 14 Pinto,Pinto,4.0,1.0,6.0,LEG0025,36689088,García,José,2001-12-29,23.0,Agente,2021-12-12,4.0,Activo,,Próximo a retiro,Escopeta,Glock,ARM-00025,En mantenimiento,Requiere revisión anual,2024-04-29,2025-03-01
26,2025-07-14,Departamental Nº 6 Las Termas,Las Termas,7.0,1.0,7.0,LEG0026,40240567,Pérez,Lucía,1988-06-23,37.0,Oficial Ayudante,2023-05-25,2.0,Activo,,,Pistola,IWI,ARM-00026,Operativa,,2024-09-26,
27,2025-07-06,Departamental Nº 9 Loreto,Loreto,6.0,2.0,2.0,LEG0027,36618153,García,José,1986-01-31,39.0,Sargento,2022-11-13,3.0,Activo,3854-XXXXXX,,Pistola,IWI,ARM-00027,Operativa,,2025-05-04,
